822 868
555 767 -599
386 439 107
204 637 372
799 349 991
292 658 234
620 269 630
761 742 531
458 342 180
205 239 -696
442 231 762
150 350 488
200 240 -458
647 522 -155
731 446 535
223 493 -28
147 118 893
117 804 -299
460 33 -955
633 727 771
771 231 -46
418 424 720
421 55 -388
23 384 -899
328 808 -129
742 43 943
139 32 -243
56 396 514
279 123 53
480 377 -77
313 532 787
760 31 45
724 722 557
646 73 326
39 369 -37
368 540 -12
413 295 -302
410 682 -605
38 222 -100
643 602 -313
381 815 -851
135 801 178
116 803 776
685 695 -859
16 539 -313
646 296 -798
440 541 -362
610 464 572
700 490 -515
302 24 -412
257 728 -16
579 384 479
26 379 223
515 448 -950
191 247 -400
473 40 17
636 565 821
543 703 365
253 368 983
708 609 -608
271 734 -138
514 191 793
400 579 -587
416 792 -23
196 415 -226
527 350 -249
36 669 170
454 304 -80
41 361 -754
318 253 417
224 173 -431
124 139 -528
432 753 -436
71 189 122
10 668 699
294 290 210
711 686 -685
424 301 -120
183 195 582
360 100 579
638 441 525
598 309 -480
399 361 -736
346 301 -208
295 55 -543
137 136 780
458 380 -316
456 387 -618
65 24 -750
669 341 -534
798 5 29
671 555 -609
646 447 -995
139 504 -25
293 463 -37
242 524 -326
227 718 -733
259 281 -221
64 92 -934
266 669 804
607 197 490
187 203 462
768 688 -559
191 502 -288
59 259 -487
159 122 -87
71 345 -227
445 630 -143
259 505 -836
599 161 -711
287 430 781
150 522 986
449 539 -525
237 153 -522
232 534 495
494 492 816
760 15 -425
249 342 -877
799 783 -985
417 505 -92
727 686 -626
409 691 -642
707 609 -409
692 479 -628
774 382 967
704 783 701
397 772 -915
477 797 795
700 581 414
146 696 -822
619 532 -335
329 469 369
502 678 -288
44 240 332
422 816 -548
27 378 -280
475 349 12
506 605 -661
165 751 -770
432 535 110
668 817 146
502 31 328
232 166 -525
764 622 437
534 475 -837
123 45 -543
445 566 838
776 601 893
340 275 -774
510 540 -562
621 611 -828
620 394 568
455 123 -258
88 472 581
470 408 -904
519 10 182
779 721 -446
337 103 -153
396 233 629
419 507 -757
513 241 713
790 782 -316
151 218 -73
312 564 -94
622 478 544
728 440 431
170 184 -362
815 812 666
486 116 -830
124 292 509
812 647 902
667 495 -276
590 713 587
182 42 839
383 366 -391
645 405 -505
444 156 127
265 780 434
680 698 115
444 714 385
78 310 872
31 726 811
273 418 536
745 446 -97
612 770 33
320 780 206
482 424 -843
357 166 -658
130 594 -41
681 438 517
821 530 -533
186 140 -979
150 506 -134
744 142 -4
272 323 -813
107 40 -208
213 277 166
476 503 852
391 775 -676
522 128 -951
718 697 430
451 796 974
338 420 -683
164 467 -539
689 261 757
373 456 -879
171 388 -246
321 243 787
357 81 702
327 117 -722
626 714 -973
447 74 614
555 742 -79
432 688 346
581 98 600
50 200 310
288 289 -970
462 533 -674
321 296 592
738 61 990
384 605 698
399 197 954
289 659 -949
711 809 -167
618 283 589
304 263 -431
71 570 -865
644 492 -702
139 93 79
448 542 783
109 218 364
819 60 810
34 326 188
438 635 -689
671 111 888
328 301 -365
89 27 -655
631 357 -262
476 43 196
57 298 -778
202 295 806
580 623 23
730 58 -384
347 85 613
160 491 269
51 185 505
489 638 -352
156 56 -878
749 93 398
599 660 357
499 189 847
756 146 -66
668 245 -710
669 408 303
707 331 137
86 69 763
396 473 615
264 667 66
29 232 -903
510 487 793
192 369 -196
265 212 -291
266 90 -263
423 135 -626
687 587 369
444 104 178
6 298 -183
242 560 -944
159 822 662
469 252 881
518 735 -739
646 608 265
429 607 856
521 759 -490
266 461 428
395 756 -828
589 418 -598
185 171 174
315 359 -975
817 607 -695
399 381 -499
212 266 -214
767 678 -866
180 504 938
388 219 -90
185 649 -956
87 372 -483
44 205 249
614 619 414
668 326 -998
120 327 199
230 84 38
231 384 86
531 493 405
339 388 529
725 202 0
333 515 -639
706 270 -377
543 765 -989
30 669 -420
103 401 523
441 562 972
518 455 143
673 289 483
621 289 862
34 290 447
256 262 -538
434 260 -102
765 545 -957
354 147 -44
635 168 379
296 345 -918
380 221 -304
155 178 -659
758 206 614
474 697 -609
47 454 -582
448 411 413
110 373 134
344 450 21
239 42 613
117 420 860
159 798 255
716 502 -344
423 793 146
191 345 -573
540 56 -182
716 821 -859
199 480 -594
535 19 879
538 795 -676
58 354 -556
797 419 -923
360 785 284
598 555 422
517 575 -486
677 544 450
217 766 -990
261 609 -192
162 46 -411
298 186 419
754 585 105
446 733 362
376 509 -814
365 633 128
799 478 54
200 565 11
334 787 -860
527 696 990
467 54 390
586 619 -947
80 240 177
457 60 -29
762 324 19
346 681 807
449 284 435
154 811 944
105 271 -975
738 70 575
400 521 -749
577 527 709
650 105 789
5 74 642
639 423 -507
7 807 -472
425 67 -275
566 142 600
723 132 -42
517 743 -26
757 377 -510
294 160 -201
418 670 -132
780 54 -637
365 820 -245
149 369 -120
677 115 -376
743 545 177
165 676 272
668 393 936
207 36 667
803 536 417
122 404 657
288 495 -911
569 411 -711
612 24 226
467 259 11
390 43 982
711 741 625
377 157 -823
481 89 -173
18 580 -162
569 438 -732
510 228 -31
316 203 -51
791 267 756
93 579 -67
815 529 -546
509 818 295
354 237 775
514 84 -673
97 529 672
334 144 -997
284 437 462
279 466 92
334 408 -864
658 669 -635
321 266 -523
793 245 68
368 694 421
211 773 188
718 326 -242
368 656 -861
474 656 91
625 251 -43
598 470 -232
443 387 -145
315 312 -892
344 36 961
151 144 -628
287 531 -254
711 384 201
690 567 843
624 172 -376
369 80 -722
465 22 -841
282 484 808
695 746 -728
124 791 -193
359 149 102
585 114 -749
57 562 997
653 255 -269
45 241 750
388 591 395
402 728 478
71 23 -480
159 60 973
350 387 319
46 239 -343
705 578 841
439 340 571
136 62 -53
783 612 317
536 612 407
305 135 -708
74 555 -212
151 344 -584
493 295 -516
17 556 105
488 186 -736
37 484 626
721 650 506
244 32 524
541 405 27
250 694 -815
219 55 744
555 348 552
424 196 786
420 568 -397
706 520 -703
740 241 22
655 715 -412
712 736 -390
679 305 334
430 218 222
205 91 -439
101 419 395
100 156 -671
563 508 -728
772 114 -57
756 471 680
208 364 -541
517 116 -68
166 185 727
579 367 -623
641 691 358
27 141 700
319 679 720
449 738 648
578 426 63
704 139 561
700 11 804
195 709 978
594 398 -352
104 681 126
443 250 742
56 437 255
427 262 -836
713 507 119
270 51 183
64 815 -187
123 633 220
351 310 -967
405 334 289
354 100 -825
83 60 -976
52 811 626
549 297 -969
444 354 -724
310 629 216
537 73 244
432 405 -904
291 676 641
294 48 -547
409 336 808
345 26 843
427 96 752
687 631 -701
62 341 -122
608 618 200
627 766 -57
528 9 -847
772 33 748
446 799 828
272 52 -193
652 793 969
249 501 855
507 390 -37
414 792 -379
442 219 -99
159 563 819
31 457 982
