825 2473
184 302 384
228 92 398
415 135 368
350 633 886
511 730 200
283 189 995
219 232 62
267 7 876
70 412 890
805 648 886
523 375 781
298 636 414
423 196 900
188 62 873
189 766 223
717 482 830
206 746 343
154 469 364
700 760 290
341 146 770
746 152 730
125 651 685
587 197 410
369 699 633
219 690 359
754 809 797
324 471 768
765 263 608
363 115 535
629 598 133
563 695 214
287 579 975
519 330 73
758 276 176
618 216 150
552 596 769
233 5 874
260 4 270
287 35 702
270 120 734
253 167 914
714 468 795
439 149 63
84 484 864
176 51 807
110 263 374
401 594 897
66 415 743
303 782 246
257 158 711
618 350 584
162 404 653
473 288 828
657 813 321
746 333 473
676 734 440
292 650 692
8 436 835
86 560 330
513 568 915
113 493 122
490 356 343
536 191 195
345 795 515
463 188 922
259 311 752
785 288 672
264 669 829
773 427 723
644 335 174
601 493 827
260 450 615
33 218 44
492 426 314
664 630 94
808 478 367
522 404 294
352 655 220
168 572 902
57 330 19
575 624 394
225 639 815
601 3 291
617 268 849
110 650 250
22 311 168
420 97 929
250 653 683
732 743 432
287 607 56
127 774 250
721 405 521
564 95 282
587 130 102
24 501 658
461 27 919
494 720 182
100 250 370
360 499 180
585 704 73
338 553 470
756 54 298
532 200 4
424 527 984
98 569 646
241 430 860
735 57 178
299 743 950
792 378 47
386 753 518
261 195 496
822 167 34
740 574 270
433 222 817
44 213 121
30 112 40
556 616 683
184 222 603
529 710 417
549 247 820
700 735 976
109 598 402
778 517 652
472 681 592
387 466 998
643 491 892
564 747 36
283 119 293
44 502 614
233 427 817
189 46 29
344 243 240
167 173 161
440 312 140
803 543 868
540 641 603
555 700 572
436 424 196
289 371 458
449 235 20
429 373 336
90 368 312
463 166 925
398 295 444
362 423 185
553 293 287
226 647 71
361 100 401
650 715 674
781 269 37
755 742 761
153 207 742
619 362 448
94 590 628
691 779 413
518 781 189
339 242 816
246 599 994
430 61 755
657 50 716
733 242 807
330 352 231
629 776 775
730 304 853
85 392 996
543 520 904
53 536 57
398 13 912
617 39 303
779 456 105
13 673 514
735 642 370
398 13 313
94 558 775
62 253 417
683 662 910
298 524 498
692 367 730
311 375 238
408 298 279
468 333 345
380 331 496
52 417 705
734 707 441
648 698 743
131 447 977
670 766 375
338 311 425
763 370 871
451 41 437
653 406 824
742 126 669
546 341 296
729 576 812
445 627 680
756 151 369
261 310 903
90 393 272
333 416 233
23 261 977
339 159 943
319 589 811
423 480 189
574 599 23
304 670 973
215 530 126
238 784 919
689 794 344
478 364 50
814 296 852
676 303 472
695 774 755
805 230 974
181 528 794
404 262 937
704 809 330
487 88 581
761 292 59
601 696 675
250 358 600
288 392 83
453 275 768
124 359 764
459 351 151
129 154 245
125 3 152
39 249 937
747 33 604
796 748 289
92 32 925
814 364 744
451 3 17
423 782 270
810 407 426
434 627 557
629 6 208
397 714 238
437 757 512
24 744 271
573 189 782
106 240 435
504 245 961
33 548 57
24 667 969
31 115 271
275 696 524
206 785 537
463 781 832
292 371 88
108 750 933
341 750 434
803 715 369
61 382 315
145 151 765
459 154 431
136 457 323
22 275 202
524 65 412
816 563 981
775 383 829
98 414 713
373 691 622
353 512 581
341 777 320
98 86 50
158 394 112
785 733 475
665 179 158
183 533 572
453 253 630
585 325 825
717 154 696
741 606 891
90 550 583
726 182 304
709 288 180
506 117 107
125 505 914
7 707 689
399 197 796
777 377 694
27 25 977
337 480 202
820 391 960
417 727 955
653 131 862
221 609 341
322 644 985
545 41 149
518 380 796
453 500 50
514 671 869
47 288 680
439 188 952
430 449 84
518 608 642
200 389 963
613 810 527
328 357 981
550 386 340
728 695 866
267 420 976
356 613 148
500 515 739
222 187 703
180 263 135
26 381 326
667 12 398
508 278 94
516 220 281
824 407 789
754 336 51
789 557 609
308 31 933
709 643 1000
426 62 405
245 14 833
14 20 464
484 499 519
251 280 927
207 521 397
222 425 871
227 416 266
682 506 876
546 736 929
518 783 279
704 543 574
299 144 296
159 502 684
382 748 229
784 567 581
482 735 338
6 50 685
206 523 463
697 622 296
761 440 825
184 59 741
234 613 553
761 336 891
222 215 435
721 423 702
580 646 624
499 805 507
415 749 202
513 232 628
195 785 347
583 615 880
284 149 376
402 327 996
350 456 851
201 543 682
500 110 70
700 785 769
325 643 145
775 213 587
46 134 310
171 62 116
496 198 241
66 408 489
601 518 197
44 330 915
418 668 936
512 173 442
243 682 785
789 679 63
483 815 1
361 202 683
85 311 345
377 219 280
584 416 136
278 348 15
764 682 154
291 299 554
536 515 579
525 5 908
439 463 974
10 404 586
569 532 966
273 329 303
226 116 367
597 693 380
7 122 738
457 273 115
598 823 508
783 577 95
597 721 76
49 547 650
719 504 613
281 169 729
260 444 704
768 103 898
468 673 615
81 244 10
820 659 470
716 134 814
629 260 940
258 249 921
92 230 724
538 399 534
600 540 897
294 277 35
531 512 164
626 36 912
732 752 606
321 762 977
769 192 466
757 497 702
534 228 975
380 359 467
614 804 45
61 68 304
389 586 519
758 89 384
360 565 612
255 392 651
183 758 950
391 394 394
205 510 129
600 622 247
229 293 1
596 587 457
303 167 639
747 810 103
214 764 53
49 22 157
149 671 173
709 291 634
92 3 960
518 795 545
269 510 418
90 311 186
123 407 858
663 647 170
364 754 389
706 734 592
504 112 500
784 735 966
528 242 638
308 393 710
103 600 651
266 509 264
54 343 457
204 200 937
729 474 489
361 218 133
427 126 817
232 293 712
606 652 270
525 84 562
199 38 35
320 551 923
339 814 838
724 772 621
567 709 986
506 84 936
650 802 708
234 556 355
169 657 147
276 621 673
211 766 449
645 772 540
803 668 948
405 801 42
683 583 186
144 388 261
741 718 617
566 786 396
367 135 876
625 551 754
763 754 500
210 423 372
559 28 562
101 351 548
166 591 608
490 694 445
494 26 46
172 547 281
240 222 69
703 454 636
801 754 349
447 24 83
117 10 561
155 347 680
158 249 762
345 86 787
461 242 791
672 301 516
769 141 118
390 600 918
197 483 518
722 773 86
278 667 819
616 695 540
308 591 610
372 582 894
152 448 585
818 498 175
235 591 846
403 616 234
399 185 935
163 609 988
643 701 545
28 638 449
747 711 776
205 648 310
430 240 941
636 397 563
765 58 44
235 795 572
333 682 209
220 98 127
359 598 75
199 71 758
620 171 20
701 39 894
314 28 649
700 62 982
209 792 188
147 129 37
787 606 623
568 33 520
186 525 903
632 645 440
313 156 685
29 530 218
61 546 611
626 238 799
798 52 283
606 248 133
122 231 707
57 212 775
64 777 735
391 613 922
379 592 154
444 191 645
641 256 772
721 627 578
343 529 835
421 324 710
4 540 786
257 381 555
106 309 426
666 353 345
103 74 128
18 619 153
97 308 12
640 780 163
457 173 216
48 613 179
727 296 802
187 30 884
145 109 943
737 72 650
495 81 460
750 484 691
357 552 83
307 531 181
531 336 715
359 749 481
709 67 118
87 706 594
572 115 874
658 96 602
391 708 713
323 712 67
717 615 549
624 769 52
820 646 928
764 153 460
642 263 136
394 435 253
764 272 581
333 715 784
419 361 539
312 691 202
158 243 722
45 151 688
776 694 68
406 743 404
273 207 992
661 264 346
286 82 710
18 663 292
683 566 3
136 583 444
125 771 138
113 354 218
3 745 46
727 453 793
699 661 206
397 297 143
34 324 258
783 757 321
487 305 110
794 186 296
623 580 898
36 633 435
345 326 992
554 666 546
131 635 707
409 174 301
6 470 63
175 408 155
727 386 418
668 116 274
399 6 888
751 806 199
229 822 938
537 788 317
753 111 287
33 134 847
749 403 880
757 810 542
9 58 749
762 468 781
140 443 638
369 763 121
596 14 29
84 629 553
447 596 71
778 474 390
288 270 62
351 12 938
203 559 403
298 670 745
479 59 8
746 771 616
739 619 906
368 655 220
83 317 674
516 732 608
265 11 115
739 621 551
254 651 491
9 37 116
386 657 422
609 95 188
50 395 54
228 190 233
140 224 112
764 753 940
88 1 670
600 589 704
693 499 635
366 651 346
670 95 557
41 817 985
563 42 919
157 763 568
442 139 821
255 779 26
629 365 613
530 695 225
485 346 364
636 581 443
337 353 764
734 641 189
499 286 120
715 338 827
698 811 566
170 228 149
363 434 728
816 85 773
617 526 395
633 796 368
564 548 67
403 64 1
24 674 153
582 635 130
556 438 976
582 363 147
165 772 355
376 198 762
88 466 455
88 469 140
63 658 130
44 374 914
54 478 307
14 267 806
547 687 97
809 103 722
223 43 507
37 329 605
190 571 259
142 26 336
155 777 641
20 822 768
105 558 589
40 732 75
467 48 975
365 342 141
87 525 789
339 320 788
139 660 526
348 260 567
395 472 798
795 410 113
130 360 77
509 164 508
677 112 875
72 80 492
83 6 690
573 426 911
111 147 279
173 624 535
165 677 769
229 713 615
233 102 546
708 99 799
519 820 209
442 5 579
541 163 426
759 76 838
133 758 560
328 697 356
655 563 995
55 37 220
579 140 604
492 472 959
751 607 272
515 400 714
348 708 364
774 54 969
405 400 104
676 128 16
507 647 567
644 620 358
708 121 627
560 80 401
511 184 513
804 449 911
485 418 244
463 795 554
238 129 301
153 431 341
488 621 421
135 676 936
374 46 175
92 810 159
741 437 179
312 206 708
444 19 727
290 56 858
735 105 536
776 442 339
459 2 843
262 88 439
397 552 959
750 386 104
145 336 324
162 502 214
214 164 437
736 64 520
121 441 255
727 272 520
223 729 652
696 737 766
817 546 377
783 489 218
697 200 846
131 675 920
737 39 939
824 75 285
811 761 593
213 95 459
38 762 499
404 665 318
485 275 755
518 556 203
717 303 620
107 604 830
346 620 56
177 533 997
351 191 406
114 653 420
736 606 252
612 589 225
207 579 463
409 75 342
242 489 783
223 605 951
710 63 384
545 450 627
814 418 333
457 804 543
591 463 908
736 47 544
715 820 337
745 115 424
54 555 145
713 571 504
739 651 162
377 620 807
138 622 260
658 161 159
416 667 875
819 359 863
66 356 740
174 224 5
670 733 322
666 734 740
763 684 782
155 611 820
410 154 302
573 398 867
770 445 899
391 573 934
169 102 941
628 557 239
258 144 387
731 22 242
376 450 383
668 344 901
120 375 626
50 614 484
503 740 937
277 299 900
159 420 46
681 362 551
187 704 723
247 584 950
332 452 62
58 633 848
548 152 97
129 712 767
445 224 186
460 260 462
227 611 260
278 577 597
300 12 459
89 695 72
501 423 374
784 91 130
565 520 235
483 183 441
722 15 525
162 555 825
350 404 423
445 597 190
674 239 213
705 92 410
469 341 839
678 449 439
427 456 491
430 767 587
488 787 987
62 174 81
121 785 869
535 1 530
68 452 63
824 3 604
198 255 81
692 175 369
474 531 890
269 721 990
367 594 764
278 44 604
87 352 152
808 730 314
586 164 779
582 673 850
243 484 31
630 288 928
574 409 981
298 475 959
384 80 605
493 563 531
357 46 23
132 133 790
71 633 695
695 388 682
215 657 632
315 786 939
591 129 28
736 219 178
596 276 896
266 216 419
703 659 982
664 351 31
550 235 63
277 586 492
670 759 944
51 750 805
562 219 486
739 47 90
540 290 206
770 290 954
246 761 173
324 748 321
760 767 566
469 110 801
623 31 206
128 196 493
49 489 653
579 676 839
65 48 848
675 259 186
337 270 398
259 525 872
711 210 680
549 634 273
714 804 555
7 57 704
718 562 487
527 699 342
139 706 90
718 130 574
764 467 184
794 433 331
602 207 280
126 359 759
744 783 975
337 178 563
95 743 68
283 705 948
595 765 570
552 488 888
596 323 64
475 810 416
122 556 764
97 512 230
586 169 93
385 683 599
368 258 119
167 348 45
724 183 416
540 95 955
307 649 432
193 266 435
505 816 568
267 648 529
511 162 299
495 100 363
92 759 975
15 676 689
644 381 442
587 48 996
137 613 998
727 442 284
609 34 713
272 278 313
492 562 710
210 333 949
817 464 884
49 451 386
410 441 509
697 327 973
78 377 986
554 757 329
662 536 161
556 63 924
290 772 124
529 426 362
800 781 300
691 293 764
507 322 967
752 737 636
426 335 618
374 582 974
213 84 691
606 5 942
529 623 344
239 781 631
666 345 779
311 235 606
251 8 398
471 177 53
441 598 583
236 479 552
654 681 508
364 636 620
800 142 579
138 294 850
622 55 288
222 231 790
308 791 11
380 384 421
488 375 122
98 193 381
255 607 139
104 731 243
207 405 827
576 639 487
404 232 538
393 280 565
237 168 123
229 371 707
381 738 627
13 472 616
554 404 889
365 764 384
320 671 993
536 778 860
185 483 380
637 399 576
77 610 42
690 655 432
660 670 430
684 464 525
136 769 781
740 165 896
236 631 127
393 440 457
472 323 746
755 630 288
252 672 642
172 682 757
638 244 672
775 405 283
650 344 318
36 199 984
307 594 906
684 439 165
472 746 189
178 694 132
795 43 703
614 751 240
495 217 649
81 87 171
646 175 451
783 625 54
437 592 494
677 743 178
105 424 295
710 567 686
212 473 859
61 90 97
698 759 890
469 266 536
177 748 872
220 22 85
193 327 778
295 749 116
314 158 56
342 397 379
41 517 986
612 295 89
166 184 227
648 740 127
138 448 598
520 228 923
624 94 584
146 54 899
376 181 21
518 572 285
295 435 6
9 409 334
505 812 891
281 540 486
531 141 879
409 628 45
368 331 306
314 39 567
526 624 511
569 190 249
57 80 347
244 553 998
177 368 23
72 637 939
737 825 495
757 745 448
770 92 53
339 496 533
444 773 895
533 61 503
806 215 13
786 495 63
111 592 95
658 278 773
270 552 675
312 627 578
757 94 486
437 81 202
768 552 319
316 699 458
105 652 553
792 121 300
654 781 439
437 331 539
609 575 788
604 128 616
39 211 357
167 807 372
83 515 627
372 820 751
600 192 8
55 35 597
165 198 63
181 514 431
614 581 988
710 329 578
409 10 79
56 731 900
757 20 615
18 547 927
272 549 941
547 318 50
106 165 242
571 679 67
722 272 72
518 220 566
388 101 735
397 599 417
820 430 340
315 339 460
648 641 62
442 180 359
90 348 372
74 58 577
816 775 697
334 591 378
86 795 441
803 528 380
189 706 319
687 207 783
33 708 115
749 507 919
656 134 653
589 428 94
586 721 313
68 379 597
306 257 670
228 622 550
489 15 354
436 369 257
275 358 354
319 45 64
101 193 571
14 45 47
147 293 837
277 783 410
323 576 836
85 163 339
759 671 214
284 412 251
339 300 960
469 728 691
554 473 665
331 598 850
366 105 889
403 90 332
20 126 801
386 7 142
309 61 548
569 72 301
54 624 144
774 526 736
520 675 88
653 725 904
49 300 172
22 162 811
135 494 500
670 437 944
555 425 550
777 649 732
797 26 233
217 494 565
210 49 269
758 689 151
594 382 703
561 55 590
167 453 11
573 807 115
580 184 73
131 188 581
16 517 44
590 804 162
304 678 35
26 99 478
782 815 157
79 229 564
700 128 326
332 534 416
680 183 597
447 438 191
779 178 218
401 299 8
280 54 817
336 272 907
613 810 829
65 62 494
271 21 592
361 6 70
722 626 594
707 342 881
222 90 201
480 508 152
95 728 719
47 606 39
330 545 285
36 413 106
287 797 990
193 449 414
355 400 702
768 212 403
427 403 895
479 739 245
100 360 272
483 556 390
107 314 989
390 352 303
13 413 75
241 370 753
609 451 4
239 772 54
257 646 129
75 535 886
416 466 741
783 457 301
663 157 498
114 100 13
168 51 187
736 251 194
217 344 815
403 615 730
169 289 828
761 80 928
273 428 630
591 598 734
37 638 65
671 278 237
496 601 928
584 633 74
96 651 737
747 754 898
305 164 90
386 717 288
264 536 9
294 305 185
755 690 728
243 552 816
719 760 428
585 639 456
25 69 129
326 772 486
675 798 551
789 81 246
357 755 382
709 656 210
185 518 340
42 189 13
775 467 380
786 347 501
576 34 971
494 389 104
96 812 976
77 553 328
353 553 597
782 750 737
450 372 570
813 39 545
158 731 127
297 358 986
464 666 135
13 441 920
763 513 183
338 152 944
124 364 659
309 496 501
122 356 37
475 267 513
223 213 940
816 693 84
568 821 127
333 396 903
712 772 338
525 775 361
605 240 453
229 778 10
236 48 111
601 822 859
275 700 505
252 133 912
142 18 777
591 778 793
770 27 886
736 44 949
390 540 23
383 533 125
484 712 103
371 368 127
821 503 379
564 370 190
261 247 541
358 482 457
590 539 45
418 21 793
296 49 689
509 473 682
35 24 926
38 488 561
645 817 921
722 607 970
93 416 684
254 782 34
156 221 247
575 51 571
202 456 264
762 419 437
471 597 557
431 785 819
653 293 650
441 551 955
83 608 975
304 812 600
261 27 946
300 512 636
616 139 246
539 96 523
518 526 123
322 812 492
489 300 666
754 353 901
21 361 895
156 435 894
729 64 757
711 742 873
825 219 74
293 263 219
197 226 782
373 422 785
496 113 819
596 793 846
419 53 927
225 492 292
748 820 478
402 272 275
52 241 961
526 188 574
589 502 722
118 251 1000
790 620 702
95 191 346
56 575 312
652 602 98
730 304 640
627 127 642
155 401 826
528 504 132
532 211 415
347 636 448
431 705 460
421 592 14
553 419 292
120 139 456
221 67 242
387 96 965
742 531 744
795 301 692
171 313 337
682 757 62
460 495 746
485 461 707
141 212 653
797 288 685
271 381 998
12 298 989
102 794 873
238 399 30
539 478 915
394 793 274
49 615 401
7 340 143
681 41 378
555 277 99
394 751 451
100 458 106
646 714 803
263 25 233
132 44 10
689 645 992
514 418 699
506 388 102
643 576 654
355 376 644
720 261 877
153 416 455
393 23 170
294 285 666
395 113 126
1 155 261
248 696 943
74 667 618
607 637 320
588 75 968
687 236 804
328 774 847
157 312 39
657 795 755
638 387 660
124 369 597
257 171 272
81 446 439
635 443 73
531 441 592
558 383 208
465 652 661
35 517 610
761 222 454
357 490 451
711 666 779
646 498 807
465 331 348
174 647 848
140 242 426
118 267 638
492 359 719
685 178 768
271 473 662
643 471 258
367 297 752
657 539 95
434 742 184
319 48 33
578 86 100
612 385 242
175 223 609
620 596 449
524 684 815
223 236 314
817 600 573
303 400 936
601 270 432
458 383 974
322 224 166
180 729 475
226 467 322
680 130 541
582 92 520
631 714 134
26 395 251
745 506 13
642 247 512
310 711 803
720 480 156
55 172 802
5 614 599
708 660 74
520 172 746
745 372 988
24 764 68
475 459 357
70 18 661
603 777 35
441 617 651
41 737 470
455 810 136
356 133 174
728 756 840
585 680 264
494 166 428
1 223 767
337 165 535
485 193 200
551 815 549
63 118 293
417 25 224
574 42 680
284 561 760
340 35 308
24 283 883
326 281 477
634 454 369
